# file...... gen/Gen4_Pref.csv
# date...... Sun Jun  8 01:45:34 2025
# user...... root
# host...... (null)
# target.... diesel_dg 5
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,Pref
2001-08-01 13:00:00 PDT,+0.25
2001-08-01 13:00:01.000000 PDT,+0.25
2001-08-01 13:00:01.001000 PDT,+0.25
2001-08-01 13:00:01.002000 PDT,+0.25
2001-08-01 13:00:01.003000 PDT,+0.25
2001-08-01 13:00:01.004000 PDT,+0.25
2001-08-01 13:00:01.005000 PDT,+0.25
2001-08-01 13:00:01.006000 PDT,+0.25
2001-08-01 13:00:01.007000 PDT,+0.25
2001-08-01 13:00:01.008000 PDT,+0.25
