# file...... switch/switch_76-761.csv
# date...... Sun Jun  8 03:29:17 2025
# user...... root
# host...... (null)
# target.... switch 344
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_A,current_out_B,current_out_C, phase_A_state,phase_B_state,phase_C_state
2001-08-01 13:00:00 PDT,+6.05136056493+176.169436362d,+9.46800885689+86.5580442194d,+11.2711739661-60.9707356022d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.000000 PDT,+6.05136144416+176.169436402d,+9.468010334+86.5580504155d,+11.2711755209-60.9707311385d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.001000 PDT,+6.05132207767+176.16925683d,+9.46801292466+86.5583730451d,+11.2712008998-60.9707299465d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.002000 PDT,+6.05127728739+176.168898907d,+9.4680311576+86.5588745879d,+11.2712682372-60.9707197812d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.003000 PDT,+6.05124496951+176.168355891d,+9.4680702604+86.5594889786d,+11.2713863656-60.9706872663d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.004000 PDT,+6.0512379787+176.167610335d,+9.46812983676+86.5601685669d,+11.2715592632-60.9706152586d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.005000 PDT,+6.05126483348+176.166647378d,+9.46820633519+86.560883488d,+11.2717872251-60.9704832193d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.006000 PDT,+6.05133057481+176.165459167d,+9.46829435004+86.5616187665d,+11.2720678024-60.9702677362d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.007000 PDT,+6.0514375339+176.16404614d,+9.46838745305+86.562371911d,+11.2723965647-60.9699430563d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.008000 PDT,+6.05158594558+176.1624166d,+9.4684787093+86.5631505095d,+11.2727677284-60.9694814311d,CLOSED,CLOSED,CLOSED
